time,timestep
0.0001,1
0.00025,2
0.000475,3
0.0008125,4
0.00131875,5
0.002078125,6
0.0032171875,7
0.00492578125,8
0.007488671875,9
0.0113330078125,10
0.01709951171875,11
0.025749267578125,12
0.038723901367188,13
0.058185852050781,14
0.087378778076172,15
0.13116816711426,16
0.19685225067139,17
0.29537837600708,18
0.44316756401062,19
0.66485134601593,20
0.9973770190239,21
1.4961655285358,22
2.2443482928038,23
3.3666224392056,24
5.0500336588085,25
6.7418619345093,26
8.4336902102101,27
9.5728827796533,28
10.712075349096,29
12.420864203261,30
14.984047484508,31
18.828822406379,32
24.595984789185,33
30.391982983905,34
36.187981178625,35
44.881978470705,36
57.922974408825,37
77.484468316005,38
106.82670917678,39
150.84007046793,40
216.86011240466,41
315.89017530976,42
464.43526966741,43
687.25291120388,44
911.18464094804,45
1135.1163706922,46
1471.0139653084,47
1808.5910478977,48
2146.1681304871,49
2652.533754371,50
3161.4312063744,51
3502.3924992167,52
3843.353792059,53
4354.7957313224,54
4868.7948802821,55
5382.7940292418,56
6153.7927526814,57
7310.2908378408,58
7832.038588221,59
8353.7863386012,60
9136.4079641715,61
9922.9426978696,62
10276.018139827,63
10629.093581784,64
11158.706744719,65
11690.96797347,66
12223.22920222,67
12463.355928134,68
12703.482654048,69
13063.672742919,70
13603.957876225,71
13967.758870737,72
14331.559865249,73
14697.179864733,74
15062.799864218,75
15611.229863444,76
16433.874862284,77
17667.842360544,78
18224.540010563,79
18781.237660582,80
19616.28413561,81
20178.56267957,82
20740.84122353,83
21119.451481106,84
21498.061738681,85
22065.977125044,86
22636.73208834,87
22892.943991363,88
23149.155894386,89
23533.473748921,90
24109.950530723,91
24689.309696434,92
25268.668862145,93
25850.924823685,94
26241.036317917,95
26502.411019052,96
26763.785720187,97
27155.84777189,98
27743.940849444,99
28332.033926998,100
29214.17354333,101
29612.14597947,102
29878.787511683,103
30145.429043897,104
30413.403783772,105
30681.378523647,106
31083.340633459,107
31487.312553821,108
31891.284474182,109
32497.242354724,110
33106.230024669,111
33715.217694613,112
34628.69919953,113
35546.748111972,114
36161.840883308,115
36776.933654644,116
37395.101889837,117
38013.270125029,118
38634.529201398,119
39255.788277766,120
39536.065893145,121
39816.343508524,122
40236.759931592,123
40867.384566194,124
41501.162323969,125
42134.940081745,126
43085.606718407,127
43725.738098204,128
44365.869478001,129
45009.201514697,130
45652.533551393,131
46299.082248272,132
46945.630945152,133
47237.317833731,134
47529.00472231,135
47966.535055179,136
48261.146104817,137
48555.757154454,138
48997.67372891,139
49660.548590594,140
50326.737826586,141
50992.927062578,142
51441.505584634,143
51890.084106689,144
52340.905521355,145
52791.726936021,146
53244.80245776,147
53548.363057325,148
53851.92365689,149
54307.264556238,150
54990.27590526,151
56014.792928792,152
56476.998149115,153
56786.675646731,154
56994.159570134,155
57201.643493537,156
57512.869378642,157
57979.708206299,158
58679.966447784,159
59730.353810012,160
61305.934853353,161
62016.749575361,162
62492.995439106,163
62812.080167816,164
63131.164896525,165
63609.791989589,166
64090.812218118,167
64571.832446647,168
65055.257776319,169
65538.683105991,170
66263.821100499,171
66752.092769101,172
67240.364437703,173
67731.077464648,174
68221.790491593,175
68957.86003201,176
69697.60992013,177
70193.24234517,178
70688.87477021,179
71022.60886361,180
71356.342957011,181
71856.944097112,182
72360.048242914,183
72863.152388715,184
73617.808607418,185
74376.238107213,186
75134.667607009,187
75896.889254304,188
76407.577757992,189
76749.739055462,190
77091.900352933,191
77435.772456891,192
77666.166766543,193
77896.561076195,194
78242.152540672,195
78760.539737389,196
79109.595756298,197
79458.651775208,198
79982.235803571,199
80508.437752077,200
81034.639700583,201
81823.942623341,202
82355.41974638,203
82886.89686942,204
83684.112553979,205
84485.314316961,206
85286.516079942,207
85826.005287046,208
86365.49449415,209
86907.681147289,210
87449.867800429,211
87814.94918332,212
88180.030566211,213
88727.652640549,214
89278.012825257,215
89828.373009966,216
90653.913287029,217
91209.79083259,218
91582.228788115,219
91954.666743641,220
92328.966888944,221
92703.267034247,222
93079.438680276,223
93455.610326306,224
93708.90550416,225
93962.200682014,226
94342.143448795,227
94723.98592941,228
95105.828410025,229
95678.592130948,230
96064.262582431,231
96449.933033914,232
96837.531837655,233
97225.130641395,234
97806.528847006,235
98198.013328754,236
98589.497810502,237
99176.724533124,238
99572.133646802,239
99967.54276048,240
100233.79148717,241
100500.04021387,242
100899.41330391,243
101168.33117409,244
101437.24904427,245
101707.5115038,246
101828.83232189,247
101950.15313997,248
102132.13436709,249
102315.02550035,250
102497.91663362,251
102772.25333351,252
103183.75838334,253
103801.0159581,254
104421.35982073,255
104836.99020869,256
105115.46256862,257
105393.93492856,258
105811.64346846,259
106438.20627831,260
107378.05049309,261
108010.89459511,262
108434.90014346,263
108718.98386086,264
109003.06757825,265
109288.57171424,266
109479.85948535,267
109671.14725646,268
109863.39146642,269
109992.1950871,270
110120.99870777,271
110314.20413879,272
110604.01228531,273
110895.26947256,274
111186.52665982,275
111623.4124407,276
112278.74111202,277
113261.73411901,278
113923.63246026,279
114367.1043489,280
114810.57623754,281
115475.7840705,282
115775.88892569,283
116075.99378089,284
116526.15106368,285
117201.38698788,286
117656.05709743,287
117960.68607083,288
118265.31504423,289
118722.25850433,290
119181.48668174,291
119640.71485914,292
120329.55712524,293
121021.84360268,294
121485.67554256,295
121949.50748244,296
122415.65858202,297
122881.8096816,298
123350.29153668,299
123664.17437958,300
123978.05722249,301
124448.88148684,302
125155.11788337,303
125864.88546188,304
126340.42973949,305
126815.97401709,306
127136.18175642,307
127350.72094177,308
127565.26012711,309
127887.06890513,310
128369.78207217,311
129093.85182271,312
129312.71408005,313
129531.57633739,314
129859.86972339,315
130352.3098024,316
130847.2120818,317
131178.796609,318
131400.95824222,319
131623.11987544,320
131956.36232528,321
132456.22600003,322
133206.02151216,323
133710.89632025,324
134215.77112834,325
134555.72858037,326
134895.6860324,327
135405.62221044,328
135918.10806937,329
136261.47359486,330
136604.83912034,331
137119.88740857,332
137466.69517345,333
137813.50293832,334
138162.04474203,335
138510.58654573,336
139033.39925128,337
139385.43518657,338
139621.29926321,339
139857.16333985,340
140210.95945481,341
140566.52455034,342
140922.08964588,343
141455.43728918,344
141814.5669248,345
142173.69656042,346
142712.39101385,347
143253.77893954,348
143496.80797939,349
