time,timestep
143739.83701923,350
143984.08120427,351
144228.32538932,352
144594.69166688,353
144841.38439988,354
145088.07713288,355
145336.00332954,356
145583.92952621,357
145955.8188212,358
146329.56756267,359
146703.31630414,360
147263.93941635,361
147827.36564412,362
148204.86121672,363
148374.31897926,364
148543.7767418,365
148797.96338562,366
149179.24335133,367
149435.97821625,368
149607.99057575,369
149780.00293524,370
150038.02147448,371
150425.04928334,372
150599.65475066,373
150774.26021797,374
150891.83080939,375
151009.40140081,376
151127.55984518,377
151245.71828956,378
151364.46752615,379
151483.21676275,380
151661.34061764,381
151928.52639998,382
152197.04811123,383
152376.95765777,384
152556.86720431,385
152826.73152412,386
153008.44466386,387
153190.1578036,388
153372.77950905,389
153555.40121449,390
153829.33377265,391
154104.6359936,392
154289.08848164,393
154473.54096968,394
154750.21970174,395
155028.28182746,396
155306.34395317,397
155723.43714175,398
155910.6702741,399
156097.90340646,400
156286.07270447,401
156474.24200248,402
156663.35214699,403
156852.46229149,404
157042.51798672,405
157232.57368195,406
157423.57965565,407
157551.55365803,408
157679.52766041,409
157871.48866398,410
158064.40947257,411
158257.33028116,412
158451.21569379,413
158581.11892026,414
158711.02214672,415
158841.57488932,416
158972.12763191,417
159103.33313822,418
159234.53864453,419
159431.34690399,420
159726.55929319,421
159925.34055545,422
160124.12181772,423
160323.89698629,424
160523.67215487,425
160658.19076463,426
160792.70937439,427
160994.48728903,428
161197.27409324,429
161400.06089746,430
161603.86163569,431
161807.66237393,432
161944.89160102,433
162082.12082811,434
162287.96466874,435
162494.83772858,436
162633.44267868,437
162772.04762877,438
162911.34560361,439
163004.67524675,440
163098.0048899,441
163237.99935462,442
163332.26462743,443
163426.52990025,444
163521.26649943,445
163616.00309861,446
163758.10799738,447
163900.92342065,448
164043.73884391,449
164187.2683443,450
164330.79784468,451
164546.09209525,452
164762.46281708,453
164907.4312007,454
165052.39958432,455
165198.09280986,456
165343.78603541,457
165562.32587372,458
165709.47967385,459
