time,dt,mCS_xx,mCS_yy,mCS_zz,mD,mEE_xx,mEE_yy,mEE_zz,mTE_xx,mTE_yy,mTE_zz,ma,mb,ndof,nelem,num_lin_it,num_nonlin_it
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0001,0.0001,0.080002160525509,5.0016729241436e-14,-2.9198795302135e-14,0.0001383053501253,5.0956790143633e-07,-1.5287037043054e-07,-1.5287037043119e-07,5.0956790143529e-07,-1.5287037042993e-07,-1.5287037043076e-07,8.1600156573926e-06,0.012036023061598,870271,28706,49,2
0.0003,0.0002,0.2400066283374,-5.479402506515e-13,-8.8103337254281e-13,0.00013830535246427,1.5287046390945e-06,-4.5861139172933e-07,-4.5861139173209e-07,1.5287046390872e-06,-4.586113917251e-07,-4.5861139172906e-07,8.1600157953921e-06,0.012036023061598,870271,28706,49,2
0.0007,0.0004,0.56001615100719,-4.012421674105e-12,-3.8797362342367e-12,0.00013830536318945,3.5669818535641e-06,-1.0700945560828e-06,-1.0700945560817e-06,3.5669818535278e-06,-1.0700945560617e-06,-1.0700945560666e-06,8.1600164281777e-06,0.012036023061598,870271,28706,48,2
0.0015,0.0008,1.2000375445414,-1.7357491339018e-11,-1.9653787415034e-11,0.00013830540998065,7.6435512391881e-06,-2.2930653718082e-06,-2.2930653718272e-06,7.6435512390273e-06,-2.2930653717145e-06,-2.2930653717601e-06,8.1600191888581e-06,0.012036023061598,870271,28706,49,2
0.0031,0.0016,2.4800897245103,-7.4024197208901e-11,-8.3585085227391e-11,0.00013830560286619,1.5796749837946e-05,-4.7390249516054e-06,-4.7390249516845e-06,1.5796749837269e-05,-4.739024951211e-06,-4.7390249514018e-06,8.1600305691051e-06,0.012036023061598,870271,28706,49,2
0.0063,0.0032,5.0402316569547,-2.9467200496331e-10,-3.4556145804779e-10,0.00013830638841155,3.2103386351254e-05,-9.6310159062257e-06,-9.631015906647e-06,3.2103386348466e-05,-9.631015904603e-06,-9.6310159054824e-06,8.1600769162815e-06,0.012036023061598,870271,28706,51,2
0.0127,0.0064,10.160665819219,-1.2623344716465e-09,-1.3903211422074e-09,0.00013830956556515,6.471761668799e-05,-1.941528501026e-05,-1.941528501132e-05,6.47176166766e-05,-1.9415285003636e-05,-1.9415285006554e-05,8.1602643683439e-06,0.012036023061598,870271,28706,50,2
0.0255,0.0128,20.402135391713,-5.2372490087159e-09,-5.4352270626719e-09,0.00013832240194762,0.00012994990697398,-3.8984972109048e-05,-3.8984972110687e-05,0.00012994990692725,-3.8984972081926e-05,-3.8984972091079e-05,8.1610217149094e-06,0.012036023061598,870271,28706,58,2
0.0511,0.0256,40.887479996948,-2.3293673269743e-08,-2.0902249145087e-08,0.00013837439968753,0.00026042980898221,-7.8128942777755e-05,-7.8128942757953e-05,0.00026042980878837,-7.8128942665627e-05,-7.8128942676243e-05,8.1640895815645e-06,0.012036023061598,870271,28706,70,2
0.1023,0.0512,80.026606948629,-8.7215028555081e-08,-8.6945366714611e-08,0.00013859580707028,0.00050972361147055,-0.0001529170837307,-0.00015291708372847,0.00050972517539299,-0.00015291785055031,-0.0001529178808313,8.1771526171466e-06,0.012036023061598,870271,28706,62,2
0.2047,0.1024,80.026607281772,-9.8839907818018e-08,-9.7468262140206e-08,0.00013904181553135,0.0005097236136348,-0.00015291708442122,-0.00015291708440986,0.00050972830580462,-0.00015291938530637,-0.00015291947569452,8.2034671163495e-06,0.012036023061598,870271,28706,45,2
0.4095,0.2048,80.02660799307,-1.2976798692127e-07,-1.1759230146577e-07,0.00013995219761058,0.00050972361826292,-0.00015291708593892,-0.00015291708583811,0.00050973456660815,-0.00015292245527798,-0.00015292266484429,8.2571796590243e-06,0.012036023061598,870271,28706,55,2
0.8191,0.4096,80.026609607507,-2.1160456189443e-07,-1.6216767448484e-07,0.00014181260227066,0.0005097236287875,-0.00015291708945991,-0.00015291708905056,0.00050974710410234,-0.00015292860457995,-0.00015292904924536,8.3669435339687e-06,0.012036023061598,870271,28706,105,2
1.6383,0.8192,80.02661339484,-4.0597114028256e-07,-2.4039330426543e-07,0.00014554092925329,0.00050972365343152,-0.00015291709778538,-0.00015291709641436,0.00050977230457713,-0.00015294096892529,-0.00015294187642006,8.5869148259442e-06,0.012036023061598,870271,28706,177,2
3.2767,1.6384,80.026622266,-7.2706522410786e-07,-2.490884989378e-07,0.00015258765850489,0.0005097237105659,-0.00015291711676521,-0.00015291711280744,0.00050982342825192,-0.00015296605894504,-0.00015296788831365,9.0026718517885e-06,0.012036023061598,870271,28706,188,2
4.9151,1.6384,80.026632251035,-9.0577283508317e-07,-4.1642028271381e-08,0.00015914589999313,0.00050972377410993,-0.00015291713737956,-0.00015291713022434,0.0005098754271707,-0.00015299157763019,-0.00015299434303448,9.3896080995946e-06,0.012036023061598,870271,28706,185,2
6.5535,1.6384,80.026642723702,-9.1379697423472e-07,3.8393849758915e-07,0.00016523860440138,0.00050972384001694,-0.00015291715825534,-0.00015291714750976,0.00050992833735015,-0.00015301753965342,-0.0001530212634449,9.7490776596816e-06,0.012036023061598,870271,28706,261,3
9.8303,3.2768,80.026663078658,-5.2658009223252e-07,1.7234438036678e-06,0.00017587733875123,0.00050972396636687,-0.00015291719724338,-0.00015291717861261,0.00051003737411872,-0.00015307102359845,-0.00015307676000938,1.0376762986322e-05,0.012036023061598,870271,28706,333,2
11.4687,1.6384,80.026673450064,-2.2347387766371e-07,2.5716487765288e-06,0.00018089552590553,0.00050972403022682,-0.00015291721675151,-0.00015291719360719,0.00051009269457938,-0.00015309815208311,-0.00015310492262815,1.0672836028426e-05,0.012036023061598,870271,28706,184,2
13.1071,1.6384,80.026683550873,1.2951103632534e-07,3.4961888339755e-06,0.00018563790062728,0.00050972409212206,-0.00015291723557075,-0.0001529172076938,0.00051014875100525,-0.00015312563477034,-0.0001531334673774,1.0952636137009e-05,0.012036023061598,870271,28706,184,2
13.9263,0.8192,80.026688572119,3.1997395766236e-07,3.9853737103606e-06,0.00018794704530202,0.00050972412280582,-0.00015291724488709,-0.00015291721453665,0.00051017695811768,-0.00015313946200401,-0.00015314783273159,1.1088875672819e-05,0.012036023061598,870271,28706,174,2
