time,dt,mCS_xx,mCS_yy,mCS_zz,mEE_xx,mEE_yy,mEE_zz,mTE_xx,mTE_yy,mTE_zz,ndof,nelem,num_lin_it,num_nonlin_it
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0001,0.0001,0.08000002445639,-3.9938580836863e-11,1.0424860594154e-11,5.0955429595697e-07,-1.5286628904448e-07,-1.5286628862746e-07,5.0955429595697e-07,-1.5286628904448e-07,-1.5286628862746e-07,145507,7462,24,2
0.0003,0.0002,0.24000022012559,1.6696470748903e-12,-4.8532528682494e-12,1.5286638224621e-06,-4.5859914671689e-07,-4.585991467709e-07,1.5286638224621e-06,-4.5859914671689e-07,-4.585991467709e-07,145507,7462,11,1
0.0007,0.0004,0.56000119847906,1.4424063845003e-11,-1.113950176829e-11,3.56688661451e-06,-1.0700659842417e-06,-1.0700659844534e-06,3.56688661451e-06,-1.0700659842417e-06,-1.0700659844534e-06,145507,7462,11,1
0.0015,0.0008,1.2000055032296,1.0880667179906e-10,6.0312891085617e-12,7.643347154109e-06,-2.293004145617e-06,-2.293004146468e-06,7.643347154109e-06,-2.293004145617e-06,-2.293004146468e-06,145507,7462,11,1
0.0031,0.0016,2.4800235049593,1.8115181907759e-10,-2.4104272291994e-10,1.579632805718e-05,-4.7388984155052e-06,-4.7388984190011e-06,1.579632805718e-05,-4.7388984155052e-06,-4.7388984190011e-06,145507,7462,11,1
0.0063,0.0032,5.040097078473,7.1435787724156e-10,-6.4266816529949e-10,3.2102529162112e-05,-9.6307587428965e-06,-9.630758754133e-06,3.2102529162112e-05,-9.6307587428965e-06,-9.630758754133e-06,145507,7462,11,1
0.0127,0.0064,10.16039451454,5.2439300718839e-09,-6.2371738828189e-09,6.4715888629539e-05,-1.9414766542973e-05,-1.941476663804e-05,6.4715888629539e-05,-1.9414766542973e-05,-1.941476663804e-05,145507,7462,11,1
0.0255,0.0128,20.401590595985,1.096209328163e-12,1.7645674081482e-12,0.00012994643691709,-3.8983931075126e-05,-3.8983931075121e-05,0.00012994643691709,-3.8983931075126e-05,-3.8983931075121e-05,145507,7462,24,2
0.0511,0.0256,40.88638806733,2.4588048758679e-11,2.6745315105717e-11,0.00026042285393194,-7.8126856179505e-05,-7.8126856179487e-05,0.0002604228539325,-7.8126856179723e-05,-7.8126856179832e-05,145507,7462,24,2
0.1023,0.0512,80.024469305044,-1.2283310935104e-10,2.0535926224935e-10,0.00050970999557337,-0.00015291299867323,-0.00015291299867052,0.00050971113991296,-0.00015291344184809,-0.00015291369983525,145507,7462,25,2
0.2047,0.1024,80.02446950492,-1.9152902274717e-08,7.6198513935178e-09,0.00050970999686866,-0.00015291299919054,-0.00015291299896885,0.00050971342982359,-0.00015291432868647,-0.00015291510242785,145507,7462,38,3
0.4095,0.2048,80.02446985148,1.0812154258933e-12,-7.5385168070156e-14,0.00050970999905401,-0.0001529129997162,-0.00015291299971621,0.00050971800898871,-0.0001529161017415,-0.0001529179076256,145507,7462,12,1
0.8191,0.4096,80.024470584159,5.5822043900288e-12,7.9749854520216e-13,0.00050971000372075,-0.00015291300111619,-0.00015291300111623,0.00050972716661176,-0.0001529196477493,-0.00015292351737414,145507,7462,13,1
1.6383,0.8192,80.024472049213,-3.2856370347969e-12,-1.3029290338477e-11,0.00050971001305234,-0.00015291300391569,-0.00015291300391577,0.00050974547784579,-0.00015292673796178,-0.00015293473466313,145507,7462,12,1
