time,dt,mCS_xx,mCS_yy,mCS_zz,mEE_xx,mEE_yy,mEE_zz,mTE_xx,mTE_yy,mTE_zz,ndof,nelem,num_lin_it,num_nonlin_it
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0001,0.0001,0.080000024610229,-1.6008767438579e-11,-6.356930842724e-11,5.095542970325e-07,-1.5286628904463e-07,-1.5286628943844e-07,5.0955429636974e-07,-1.5286628871521e-07,-1.528662891051e-07,203957,7462,26,2
0.0003,0.0002,0.2400002213924,-1.5746230626898e-11,-4.7410723282948e-11,1.5286638306455e-06,-4.5859914916715e-07,-4.5859914942934e-07,1.5286638260062e-06,-4.5859914686124e-07,-4.5859914709592e-07,203957,7462,11,1
0.0007,0.0004,0.56000120535523,-8.5496753801e-11,-2.4054520137914e-10,3.5668866589366e-06,-1.070065997579e-06,-1.0700659988628e-06,3.5668866357401e-06,-1.0700659860495e-06,-1.0700659871958e-06,203957,7462,11,1
0.0015,0.0008,1.2000055348028,-3.953684989534e-10,-1.0914901340609e-09,7.6433473582727e-06,-2.2930042070621e-06,-2.2930042128262e-06,7.6433472555464e-06,-2.2930041560037e-06,-2.2930041611582e-06,203957,7462,11,1
0.0031,0.0016,2.4800236398965,-1.7004843494688e-09,-4.6241833107866e-09,1.5796328928624e-05,-4.7388986769566e-06,-4.7388987011655e-06,1.5796328497183e-05,-4.7388984625168e-06,-4.7388984841644e-06,203957,7462,11,1
0.0063,0.0032,5.0400976354629,-6.5302666117477e-09,-1.9302069266926e-08,3.2102532759316e-05,-9.6307598176976e-06,-9.6307599234514e-06,3.2102530991881e-05,-9.6307589392329e-06,-9.6307590344807e-06,203957,7462,11,1
0.0127,0.0064,10.16039677146,-3.1607229480403e-08,-6.8368570181089e-08,6.4715903193967e-05,-1.9414770971559e-05,-1.9414771275952e-05,6.4715896040714e-05,-1.9414767416244e-05,-1.9414767678013e-05,203957,7462,25,2
0.0255,0.0128,20.401599697715,-1.2630073914326e-07,-2.7459084974996e-07,0.00012994649565594,-3.8983948746738e-05,-3.8983949974618e-05,0.00012994646687919,-3.8983934444519e-05,-3.8983935500094e-05,203957,7462,25,2
0.0511,0.0256,40.886424636056,-4.9811236566347e-07,-1.094280933988e-06,0.00026042308989665,-7.8126927137865e-05,-7.8126932074293e-05,0.00026042297449937,-7.812686978824e-05,-7.8126874026635e-05,203957,7462,24,2
