time,dt,mCS_xx,mCS_yy,mCS_zz,mD,mEE_xx,mEE_yy,mEE_zz,mTE_xx,mTE_yy,mTE_zz,ma,mb,ndof,nelem,num_lin_it,num_nonlin_it
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0001,0.0001,0.080000024458873,1.3250205919422e-13,1.9161286391736e-13,0.00016931018995827,5.0955429591577e-07,-1.5286628877444e-07,-1.5286628877395e-07,5.0955429591526e-07,-1.528662887742e-07,-1.5286628877368e-07,9.9893012075379e-06,0.014734219240073,294060,9600,38,2
0.0003,0.0002,0.24000022012845,-3.2170724635857e-13,-3.0514106332644e-13,0.00016931019286509,1.5286638224754e-06,-4.5859914674372e-07,-4.5859914674358e-07,1.5286638224718e-06,-4.5859914674203e-07,-4.5859914674166e-07,9.9893013790403e-06,0.014734219240073,294060,9600,37,2
0.0007,0.0004,0.56000119847999,-1.0839434051907e-12,-1.0769077847829e-12,0.00016931020618517,3.5668866145263e-06,-1.0700659843615e-06,-1.0700659843615e-06,3.5668866145083e-06,-1.0700659843531e-06,-1.0700659843519e-06,9.989302164925e-06,0.014734219240073,294060,9600,37,2
0.0015,0.0008,1.2000055032431,-6.4229920710364e-12,-5.3882366877502e-12,0.00016931026433615,7.6433471544369e-06,-2.2930041463549e-06,-2.2930041463464e-06,7.6433471543567e-06,-2.2930041463174e-06,-2.2930041463037e-06,9.989305595833e-06,0.014734219240073,294060,9600,36,2
0.0031,0.0016,2.480023505126,-2.814773085532e-11,-2.3963036553494e-11,0.00016931050401971,1.5796328058227e-05,-4.7388984175717e-06,-4.7388984175371e-06,1.5796328057888e-05,-4.7388984174132e-06,-4.738898417357e-06,9.9893197371627e-06,0.014734219240073,294060,9600,36,2
0.0063,0.0032,5.0400970792334,-1.131606838602e-10,-9.9503407575106e-11,0.00016931148015502,3.2102529167498e-05,-9.6307587506582e-06,-9.6307587505451e-06,3.2102529166096e-05,-9.630758750002e-06,-9.6307587497994e-06,9.9893773291462e-06,0.014734219240073,294060,9600,36,2
0.0127,0.0064,10.160394516157,-4.2611853939324e-10,-4.241315527682e-10,0.00016931542809976,6.4715888639566e-05,-1.9414766593286e-05,-1.941476659327e-05,6.471588863377e-05,-1.9414766590575e-05,-1.9414766590185e-05,9.9896102578861e-06,0.014734219240073,294060,9600,37,2
0.0255,0.0128,20.401590603201,-1.9009137673095e-09,-1.6485611331049e-09,0.00016933137823673,0.00012994643696985,-3.8983931097877e-05,-3.8983931095788e-05,0.00012994643694552,-3.8983931086508e-05,-3.8983931082828e-05,9.9905513159671e-06,0.014734219240073,294060,9600,36,2
0.0511,0.0256,40.886388099737,-7.4701165639519e-09,-7.3320946949529e-09,0.0001693959827794,0.00026042285416674,-7.8126856275106e-05,-7.8126856273964e-05,0.00026042285406135,-7.8126856225959e-05,-7.8126856217719e-05,9.9943629839844e-06,0.014734219240073,294060,9600,40,2
0.1023,0.0512,80.024469479763,-3.3040058250314e-08,-3.0527823550314e-08,0.00016967082081031,0.00050970999680786,-0.00015291299915803,-0.00015291299913723,0.00050971154200075,-0.00015291377112582,-0.00015291377236233,1.0010578427808e-05,0.014734219240073,294060,9600,44,2
0.2047,0.1024,80.024469822526,-4.3846933793956e-08,-4.0718804026479e-08,0.00017022373704036,0.00050970999903119,-0.00015291299986235,-0.00015291299983645,0.00050971463467833,-0.00015291531596525,-0.0001529153193807,1.0043200485381e-05,0.014734219240073,294060,9600,38,2
0.4095,0.2048,80.024470572689,-7.4838813199753e-08,-6.7519243011731e-08,0.00017134826180081,0.00050971000391972,-0.00015291300144197,-0.00015291300138136,0.00050972082037064,-0.00015291840643229,-0.00015291841284197,1.0109547446248e-05,0.014734219240073,294060,9600,66,2
0.8191,0.4096,80.02447230632,-1.5681813312328e-07,-1.4312381516317e-07,0.00017363183967611,0.00050971001526308,-0.00015291300513234,-0.00015291300501895,0.00050973320856462,-0.00015292459763447,-0.00015292460581837,1.0244278540891e-05,0.014734219240073,294060,9600,85,2
1.6383,0.8192,80.024476443323,-3.2409463271866e-07,-3.3430114544999e-07,0.000178164700181,0.00050971004229836,-0.00015291301373759,-0.0001529130138221,0.00050975812285315,-0.00015293705386812,-0.00015293705424636,1.0511717310679e-05,0.014734219240073,294060,9600,147,2
3.2767,1.6384,80.02448620587,-4.164340058118e-07,-6.4943459617169e-07,0.00018664416212693,0.00050971010525879,-0.00015291303237812,-0.00015291303430742,0.00050980876240858,-0.00015296238095268,-0.00015296234288265,1.1012005565489e-05,0.014734219240073,294060,9600,172,2
4.9151,1.6384,80.024497167981,-1.3756973508625e-07,-7.73610154714e-07,0.00019449160520012,0.00050971017478557,-0.00015291305131134,-0.00015291305657792,0.00050986038758817,-0.00015298820138281,-0.00015298811930906,1.1475004706807e-05,0.014734219240073,294060,9600,171,2
6.5535,1.6384,80.024508536889,5.0828279923388e-07,-6.4672790670017e-07,0.0002017578239591,0.00050971024572244,-0.00015291306916411,-0.0001529130787279,0.00050991303379735,-0.00015301452843449,-0.00015301440753243,1.1903711613587e-05,0.014734219240073,294060,9600,173,2
9.8303,3.2768,80.02453003347,2.5282486020069e-06,2.552992408901e-07,0.00021439297092054,0.00050971037705991,-0.00015291309909797,-0.00015291311791857,0.00051002185502038,-0.00015306892657597,-0.00015306876840106,1.2649185284312e-05,0.014734219240073,294060,9600,235,2
13.1071,3.2768,80.024550390198,5.0203682091313e-06,1.6292521118691e-06,0.00022564898041621,0.0005097104993332,-0.0001529131247482,-0.0001529131528275,0.00051013372566722,-0.00015312482635784,-0.00015312467755187,1.3313289844556e-05,0.014734219240073,294060,9600,235,2
16.3839,3.2768,80.024569251882,7.618218682684e-06,3.2274508072125e-06,0.00023581731378507,0.00050971061145338,-0.00015291314729669,-0.00015291318365337,0.00051024808984328,-0.00015318195510459,-0.00015318185423538,1.3913221513319e-05,0.014734219240073,294060,9600,236,2
22.9375,6.5536,80.024601599754,1.200540135555e-05,6.2882854751992e-06,0.00025306233246389,0.0005097108032589,-0.00015291318701281,-0.00015291323435198,0.00051048311202927,-0.00015329932574689,-0.00015329940438827,1.4930382904498e-05,0.014734102415119,294060,9600,283,2
36.0447,13.1072,80.024654850563,1.7563610653287e-05,1.0926534523129e-05,0.00028024239872439,0.00050971112295236,-0.00015291326222623,-0.00015291331718292,0.00051096343877084,-0.00015353917711718,-0.00015353971811046,1.6531659892202e-05,0.014733508845571,294060,9600,307,2
62.2591,26.2144,80.024743464925,2.2092564308587e-05,1.5867499931245e-05,0.00032034943072766,0.00050971166927966,-0.00015291341214754,-0.00015291346369266,0.00051192487700212,-0.00015401941133604,-0.00015402067222662,1.8886968950663e-05,0.01473156351805,294060,9600,466,3
