time,dt,mCS_xx,mCS_yy,mCS_zz,mD,mEE_xx,mEE_yy,mEE_zz,mTE_xx,mTE_yy,mTE_zz,ma,mb,ndof,nelem,num_lin_it,num_nonlin_it
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0001,0.0001,0.080008624924262,8.7473375123603e-08,1.3429364070535e-08,0.00015087967466026,5.0960888314293e-07,-1.5288219129116e-07,-1.5288280439444e-07,5.0960888314224e-07,-1.528821912908e-07,-1.5288280439412e-07,8.9019008049552e-06,0.013130303649854,273014,8914,54,2
0.0003,0.0002,0.24002602155861,2.624221153973e-07,4.0290312892398e-08,0.00015087967731505,1.5288275843623e-06,-4.5864685434752e-07,-4.5864869365544e-07,1.5288275843575e-06,-4.5864685434495e-07,-4.5864869365318e-07,8.9019009615882e-06,0.013130303649854,273014,8914,54,2
0.0007,0.0004,0.56006140196488,6.1232090618166e-07,9.401500209637e-08,0.00015087968949449,3.567268726523e-06,-1.0701773023762e-06,-1.0701815940811e-06,3.5672687264988e-06,-1.0701773023633e-06,-1.0701815940698e-06,8.9019016801751e-06,0.013130303649854,273014,8914,53,2
0.0015,0.0008,1.2001345113496,1.3121307600903e-06,2.0148238178555e-07,0.00015087974257671,7.644165969845e-06,-2.2932426861072e-06,-2.2932518825588e-06,7.6441659697379e-06,-2.2932426860503e-06,-2.2932518825086e-06,8.9019048120259e-06,0.013130303649854,273014,8914,53,2
0.0031,0.0016,2.4802901245211,2.7118004324433e-06,4.1649004424236e-07,0.00015087996141513,1.579802029321e-05,-4.7393914044771e-06,-4.7394104102319e-06,1.579802029276e-05,-4.7393914042377e-06,-4.7394104100212e-06,8.9019177234925e-06,0.013130303649854,273014,8914,53,2
0.0063,0.0032,5.0406389293837,5.5113407240838e-06,8.4679360864541e-07,0.00015088085244782,3.2105968292633e-05,-9.6317606465762e-06,-9.6317992702148e-06,3.2105968290785e-05,-9.6317606455938e-06,-9.6317992693496e-06,8.9019702944212e-06,0.013130303649854,273014,8914,53,2
0.0127,0.0064,10.161486860473,1.1111235101569e-05,1.7085430086301e-06,0.00015088445481916,6.4722821748663e-05,-1.941678636605e-05,-1.9416864222736e-05,6.4722821741156e-05,-1.9416786362059e-05,-1.941686421922e-05,8.9021828343305e-06,0.013130303649854,273014,8914,53,2
0.0255,0.0128,20.403784066406,2.2314365542558e-05,3.4365494454031e-06,0.0001508989985363,0.00012996035886071,-3.8987986856822e-05,-3.8988143169949e-05,0.00012996035883027,-3.8987986840642e-05,-3.8988143155689e-05,8.9030409136414e-06,0.013130303649854,273014,8914,53,2
0.0511,0.0256,40.890784319798,4.4734606030001e-05,6.9101309523586e-06,0.00015095783481463,0.0002604507568559,-7.8134984932309e-05,-7.81352981286e-05,0.00026045075673246,-7.8134984866721e-05,-7.8135298070747e-05,8.9065122540629e-06,0.013130303649854,273014,8914,52,2
